internal_id,resource_key,set_label,collector_label,japanese_name,official_english_name,status,mapping_source,name_text_id,list_index_name
0,0_1,Special/Promo,1,凶星王ダーク・ヒドラ,"Dark Hydra, Evil Planet Lord",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,0,
1,0_2,Special/Promo,2,ミラフォース・ドラゴン,Mirror Force Dragon,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,4,
2,0_3,Special/Promo,3,聖清の精霊アムニス,"Amnis, Holy Elemental",printed_english_name_mapped,Dueparture overseas correspondence promo section,8,
3,0_4,Special/Promo,4,邪獄ギリアム,"Giliam, the Tormentor",printed_english_name_mapped,Dueparture overseas correspondence promo section,12,
4,0_5,Special/Promo,5,シェル・ブリゲードγ,Brigade Shell Q,printed_english_name_mapped,Latepate English TCG catalog: Promotional L18/20 Y1,16,
5,0_6,Special/Promo,6,機神装甲ヴァルボーグ,Divine Machine Armor Valborg,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,20,
6,0_7,Special/Promo,7,シータ・トゥレイト,Q-tronic Omnistrain,printed_english_name_mapped,Dueparture overseas correspondence promo section,23,
7,0_8,Special/Promo,8,聖騎士サーベルフィーリ,"Saberfili, the Paladin",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,26,
8,0_9,Special/Promo,9,超竜バハム,Überdragon Baham,wiki_established_english_name_needs_extended_glyph,Duel Masters Wiki/Fandom established English page/title,30,
9,0_10,Special/Promo,10,大昆虫ジェネラルマンティス,"Dyno Mantis, the Mightspinner",printed_english_name_mapped,Dueparture overseas correspondence promo section,34,
10,0_12,Special/Promo,12,超竜ザシャック,Überdragon Zaschack,printed_english_name_mapped_needs_extended_glyph,Latepate English TCG catalog: Promotional L6 Y2,41,
11,0_14,Special/Promo,14,電脳聖霊グラリス,"Glaris, Electro-Elemental",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,49,
12,0_15,Special/Promo,15,ネオ・ブレイン,Brain Serum,printed_english_name_mapped,Dueparture overseas correspondence promo section,53,
13,0_16,Special/Promo,16,魔刻の騎士オルゲイト,"Olgate, Nightmare Samurai",printed_english_name_mapped,Dueparture overseas correspondence promo section,56,
14,0_17,Special/Promo,17,バルキリー・ドラゴン,Velyrika Dragon,printed_english_name_mapped,Dueparture overseas correspondence promo section,59,
