list_index,master_text_id,kind,source_japanese,dormant_list2_reference,translation
0,466,card_text,銀界の守護者ル・ギラ・レシール,"Lu Gila Reseel, Guardian of the Silver Sphere","Lu Gila, Silver Rift Guardian"
1,467,card_text,"{B}ブロッカー（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）
＊このクリーチャーがバトルゾーンにある間、進化クリーチャーはタップされた状態でバトルゾーンに出る。
＊このクリーチャーは、相手プレイヤーを攻撃できない。","{B} Blocker (When one of your opponent's creatures attacks, you may tap this creature to stop the attack. Then the two creatures battle.)
While this creature is in the battle zone, evolution creatures are put into the battle zone tapped.
This creature can't attack players.","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution creatures are put into the battle zone tapped.
■ This creature can't attack players."
2,468,card_text,ガーディアン,ガーディアン,Guardian
3,469,card_text,インビンシブル・オーラ,Invincible Aura,Invincible Aura
4,470,card_text,＊自分の山札のカードを上から3枚まで、自分のシールドに加える。,Add up to 3 cards from the top of your deck to your shields.,■ Add up to 3 cards from the top of your deck to your shields face down.
5,471,card_text,星さえも消滅させる苛烈な火の攻撃。だがしかし、光の盾には通じなかった。,"The Fire army possesses enough firepower to lay waste to a planet, yet even that is not enough to penetrate the wall of light.",
6,472,card_text,エウロピカ,Aeropica,Aeropica
7,473,card_text,"＊このクリーチャーで攻撃する代わりに、タップして次の t 能力を使ってもよい。
t バトルゾーンにあるクリーチャーを1体選び、持ち主の手札に戻す。","Instead of having this creature attack, you may tap it to use its t ability.
t Choose a creature in the battle zone and return it to its owner's hand.","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose a creature in the battle zone and return it to its owner's hand."
8,474,card_text,深海をまさぐる両腕は、全てを吸い込む魔法の扉。,"Its hands sweep through the water, gathering all between them like giant nets.",
9,475,card_text,シー・ハッカー,シー・ハッカー,Sea Hacker
