master_text_id,roles,cards,source_japanese,list_index,list1_japanese,dormant_list2_reference,translation
0,name,0:0_1:Special/Promo 1:凶星王ダーク・ヒドラ,凶星王ダーク・ヒドラ,,,,"Dark Hydra, Evil Planet Lord"
1,rules,0:0_1:Special/Promo 1:凶星王ダーク・ヒドラ,"■自分のクリーチャーがバトルゾーンに出るとき、そのクリーチャーと同じ種族のクリーチャーを自分の墓地から１体選び、自分の手札に加えてもよい。
■Ｗ・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを２枚ブレイクする。） 　",,,,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever you put a creature, you may return a creature that has the same race as that creature from your graveyard to your hand."
2,flavor,0:0_1:Special/Promo 1:凶星王ダーク・ヒドラ,その宇宙は冥界への入り口、死者しかくぐれない。,,,,"That universe is a gateway to the underworld, one only the dead may pass through."
3,race,0:0_1:Special/Promo 1:凶星王ダーク・ヒドラ,ダークロード,,,,Dark Lord
4,name,1:0_2:Special/Promo 2:ミラフォース・ドラゴン,ミラフォース・ドラゴン,,,,Mirror Force Dragon
5,rules,1:0_2:Special/Promo 2:ミラフォース・ドラゴン,"■このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分のドラゴン以外のクリーチャーはすべて「パワーアタッカー
+4000」を得る。",,,,"■ Each of your non-Dragon creatures gets ""power attacker +4000""."
6,flavor,1:0_2:Special/Promo 2:ミラフォース・ドラゴン,この力は次につながる。聖なる剣が戦場を切る。,,,,"Its power will now connect all, and its holy sword will cut through the battlefield."
7,race,1:0_2:Special/Promo 2:ミラフォース・ドラゴン,ボルケーノ・ドラゴン,,,,Volcano Dragon
8,name,2:0_3:Special/Promo 3:聖清の精霊アムニス,聖清の精霊アムニス,,,,"Amnis, Holy Elemental"
9,rules,2:0_3:Special/Promo 3:聖清の精霊アムニス,"■闇ブロッカー（相手の闇クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。そのあと、その相手クリーチャーとバトルする）
■このクリーチャーは、闇クリーチャーとのバトルに負けても、墓地には置かれない。",,,,"■ Darkness blocker (Whenever an opponent's darkness creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When this creature loses a battle against a darkness creature, this creature isn't destroyed."
10,flavor,2:0_3:Special/Promo 3:聖清の精霊アムニス,光は永遠の剣なり。その輝きを何者も消すことはできない。,,,,
11,race,2:0_3:Special/Promo 3:聖清の精霊アムニス,エンジェル・コマンド,,,,Angel Command
12,name,3:0_4:Special/Promo 4:邪獄ギリアム,邪獄ギリアム,,,,"Giliam, the Tormentor"
13,rules,3:0_4:Special/Promo 4:邪獄ギリアム,"■光ブロッカー（相手の光クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。そのあと、その相手クリーチャーとバトルする。）
■このクリーチャーは、光クリーチャーとのバトルに負けても、墓地には置かれない。",,,,"   Light blocker (Whenever an opponent's light creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever this creature loses a battle against a light creature, this creature isn't destroyed."
14,flavor,3:0_4:Special/Promo 4:邪獄ギリアム,邪獄の憎悪は剣となり、天に煉獄の苦しみを与えた。,,,,
15,race,3:0_4:Special/Promo 4:邪獄ギリアム,デーモン・コマンド,,,,Demon Command
16,name,4:0_5:Special/Promo 5:シェル・ブリゲードγ,シェル・ブリゲードγ,,,,Brigade Shell Q
17,rules,4:0_5:Special/Promo 5:シェル・ブリゲードγ,"[Ｓ]－このクリーチャーが攻撃するとき、自分の山札の上から１枚目を表向きにする。そのカードがサバイバーであれば自分の手札に加え、サバイバーでなければ自分の墓地に置く。
サバイバー（このクリーチャーがバトルゾーンにある間、自分の他のサバイバーも上の[Ｓ]能力を得る）",,,,"■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  Whenever this creature attacks, reveal the top card of your deck. If it's a Survivor, put it into your hand. Otherwise, put it into your graveyard."
18,flavor,4:0_5:Special/Promo 5:シェル・ブリゲードγ,シェル・ブリゲードの背中には、思い出だけが住んでいる。,,,,Only memories dwell on Brigade Shell's back.
19,race,4:0_5:Special/Promo 5:シェル・ブリゲードγ,コロニー・ビートル［サバイバー］,,,,Survivor/Colony Beetle
20,name,5:0_6:Special/Promo 6:機神装甲ヴァルボーグ,機神装甲ヴァルボーグ,,,,Divine Machine Armor Valborg
21,rules,5:0_6:Special/Promo 6:機神装甲ヴァルボーグ,"■進化－自分のヒューマノイド１体の上に置く。
■Ｗ・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを２枚ブレイクする。）
■攻撃中、このクリーチャーのパワーは、バトルゾーンにある他の火のクリーチャー１体につき、+1000される。",,,,"■ Evolution-Put on one of your Humans.
■ While attacking, this creature gets +1000 power for each other fire creature in the battle zone.
■ Double breaker (This creature breaks 2 shields.)"
22,race,5:0_6:Special/Promo 6:機神装甲ヴァルボーグ,ヒューマノイド,,,,Human
23,name,6:0_7:Special/Promo 7:シータ・トゥレイト,シータ・トゥレイト,,,,Q-tronic Omnistrain
24,rules,6:0_7:Special/Promo 7:シータ・トゥレイト,"■進化－自分のサバイバー１体の上に置く。
■Ｓ・トリガー（このクリーチャーをシールドゾーンから手札に加えるとき、コストを支払わずにすぐ召喚してよい）
■このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分のクリーチャーはすべて、それぞれの種族に加えてサバイバー種族を得る。",,,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Evolution-Put on one of your Survivors.
■ Each of your creatures in the battle zone is a Survivor in addition to its other races."
25,race,6:0_7:Special/Promo 7:シータ・トゥレイト,サバイバー,,,,Survivor
26,name,7:0_8:Special/Promo 8:聖騎士サーベルフィーリ,聖騎士サーベルフィーリ,,,,"Saberfili, the Paladin"
27,rules,7:0_8:Special/Promo 8:聖騎士サーベルフィーリ,■このクリーチャーで攻撃するかわりに、タップしてバトルゾーンにあるクリーチャー１体の[Ｔ]能力を使ってもよい。,,,,"■ Instead of attacking, you may tap this creature to use another creature's ability."
28,flavor,7:0_8:Special/Promo 8:聖騎士サーベルフィーリ, 油断をするな。思いもしなかった空間から、見えない剣が現れる。,,,,Never let your guard down. An unseen blade may appear from a space you never imagined.
29,race,7:0_8:Special/Promo 8:聖騎士サーベルフィーリ,レインボー・ファントム,,,,Rainbow Phantom
30,name,8:0_9:Special/Promo 9:超竜バハム,超竜バハム,,,,Überdragon Baham
31,rules,8:0_9:Special/Promo 9:超竜バハム,"■進化－自分のアーマード・ドラゴン１体の上に置く。
■シールドを攻撃したとき、バトルゾーンにある自分のドラゴノイド１体につき、シールドをさらにもう１枚ブレイクする。",,,,"■ Evolution-Put on one of your Armored Dragons.
■ This creature breaks an additional shield for each of your Dragonoids in the battle zone."
32,flavor,8:0_9:Special/Promo 9:超竜バハム,その姿、その果敢さ、その強さ、時代の記憶に残されるであろう。,,,,"Its form, its courage, its strength - all will be remembered through the ages."
33,race,8:0_9:Special/Promo 9:超竜バハム,アーマード・ドラゴン,,,,Armored Dragon
34,name,9:0_10:Special/Promo 10:大昆虫ジェネラルマンティス,大昆虫ジェネラルマンティス,,,,"Dyno Mantis, the Mightspinner"
35,rules,9:0_10:Special/Promo 10:大昆虫ジェネラルマンティス,"■進化－自分のジャイアント・インセクト１体の上に置く。
■Ｗ・ブレイカー
■バトルゾーンにあるパワー5000以上の自分の他のクリーチャーは、シールドを攻撃したとき、さらにもう１枚ブレイクする。",,,,"■ Evolution-Put on one of your Giant Insects.
■ Double breaker (This creature breaks 2 shields.)
■ Each of your other creatures in the battle zone that has power 5000 or more breaks one more shield."
36,flavor,9:0_10:Special/Promo 10:大昆虫ジェネラルマンティス,満月の晩、虫達の怒りが究極の戦士を生む！,,,,
37,race,9:0_10:Special/Promo 10:大昆虫ジェネラルマンティス,ジャイアント・インセクト,,,,Giant Insect
38,,,ガルベリアス・ドラゴン,,,,
39,,,"■Ｗ・ブレイカー　■スピードアタッカー
■このクリーチャーがバトルゾーンに出たとき、バトルゾーンに相手の自然のクリーチャーが１体でもあれば、自分の山札の上から１枚目を自分のマナゾーンに置く。
■バトルゾーンに相手の水のクリーチャーが１体でもあれば、このクリーチャーはブロックされない。
■バトルゾーンに相手の闇のクリーチャーが１体でもあれば、このクリーチャーは「スレイヤー」を得る。
■バトルゾーンに相手の光のクリーチャーが１体でもあれば、自分のターンの終わりに、このクリーチャーをアンタップしてもよい。",,,,
40,,,アーマード・ドラゴン,,,,
41,name,10:0_12:Special/Promo 12:超竜ザシャック,超竜ザシャック,,,,Überdragon Zaschack
42,rules,10:0_12:Special/Promo 12:超竜ザシャック,"■進化－自分のアーマード・ドラゴン１体の上に置く。
■クルー・ブレイカー :アーマード・ドラゴン（バトルゾーンにある自分の他のアーマード・ドラゴン１体につき、さらにシールドをもう１枚ブレイクする）",,,,"■ Evolution-Put on one of your Armored Dragons.
■ Crew breaker-Armored Dragon (This creature breaks one more shield for each of your other Armored Dragons in the battle zone.)"
43,flavor,10:0_12:Special/Promo 12:超竜ザシャック,うだうだ悩むぐらいなら、切り札を使ってしまえ！,,,,
44,race,10:0_12:Special/Promo 12:超竜ザシャック,アーマード・ドラゴン,,,,Armored Dragon
45,,,神滅竜騎ガルザーク,,,,
46,,,"■マナゾーンに置く時、このカードはタップして置く。
■バトルゾーンに自分のドラゴンが他に１体でもあれば、このクリーチャーは「パワーアタッカー+6000」と「Ｔ・ブレイカー」を得る。
■Ｗ・ブレイカー
■このクリーチャーは攻撃されない。",,,,
47,,,滅びの声が響く時、世界の歴史は悲鳴をあげる。,,,,
48,,,アーマード・ドラゴン/ドラゴン・ゾンビ,,,,
49,name,11:0_14:Special/Promo 14:電脳聖霊グラリス,電脳聖霊グラリス,,,,"Glaris, Electro-Elemental"
50,rules,11:0_14:Special/Promo 14:電脳聖霊グラリス,"■マナゾーンに置く時、このカードはタップして置く。
■自分のクリーチャーは、同じ文明のクリーチャーから攻撃されない。",,,,"■ (This creature is put into your mana zone tapped.)
■ Your creatures can't be attacked by creatures that have the same civilization."
51,flavor,11:0_14:Special/Promo 14:電脳聖霊グラリス,輝く星のきらめきと、溢れ出る海の英知の前に、敵すらも心を奪われた。,,,,"Before the glitter of the shining stars and the overflowing wisdom of the sea, even its enemies were spellbound."
52,race,11:0_14:Special/Promo 14:電脳聖霊グラリス,エンジェル・コマンド/ゲル・フィッシュ,,,,Angel Command/Gel Fish
53,name,12:0_15:Special/Promo 15:ネオ・ブレイン,ネオ・ブレイン,,,,Brain Serum
54,rules,12:0_15:Special/Promo 15:ネオ・ブレイン,"■Ｓ・トリガー（この呪文をシールドゾーンから手札に加える時、コストを支払わずにすぐ唱えてもよい）
■カードを２枚まで引く。",,,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Draw up to 2 cards."
55,flavor,12:0_15:Special/Promo 15:ネオ・ブレイン,知は最も偉大な力なり！,,,,Knowledge is the greatest power!
