seq,large_chunk,small_chunk,resource_key,canonical_key,internal_id,japanese_name,english_name,card_type,race,rules,flavor,mapping,large_chunk_size,inner_archive_size,outer_slack
0,677,1360,0_1,0_1,0,凶星王ダーク・ヒドラ,"Dark Hydra, Evil Planet Lord",CREATURE,Dark Lord,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever you put a creature, you may return a creature that has the same race as that creature from your graveyard to your hand.","That universe is a gateway to the underworld, one only the dead may pass through.",crosswalk,143360,142848,512
1,678,1361,0_2,0_2,1,ミラフォース・ドラゴン,Mirror Force Dragon,CREATURE,Volcano Dragon,"■ Each of your non-Dragon creatures gets ""power attacker +4000"".","Its power will now connect all, and its holy sword will cut through the battlefield.",crosswalk,143360,142592,768
2,679,1362,0_3,0_3,2,聖清の精霊アムニス,"Amnis, Holy Elemental",CREATURE,Angel Command,"■ Darkness blocker (Whenever an opponent's darkness creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When this creature loses a battle against a darkness creature, this creature isn't destroyed.",,crosswalk,126976,126208,768
3,680,1363,0_4,0_4,3,邪獄ギリアム,"Giliam, the Tormentor",CREATURE,Demon Command,"   Light blocker (Whenever an opponent's light creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever this creature loses a battle against a light creature, this creature isn't destroyed.",,crosswalk,151552,151552,0
4,681,1364,0_5,0_5,4,シェル・ブリゲードγ,Brigade Shell Q,CREATURE,Survivor/Colony Beetle,"■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  Whenever this creature attacks, reveal the top card of your deck. If it's a Survivor, put it into your hand. Otherwise, put it into your graveyard.",,crosswalk,133120,131328,1792
5,682,1365,0_6,0_6,5,機神装甲ヴァルボーグ,Divine Machine Armor Valborg,EVOLUTION CREATURE,Human,"■ Evolution-Put on one of your Humans.
■ While attacking, this creature gets +1000 power for each other fire creature in the battle zone.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,135168,134400,768
6,683,1366,0_7,0_7,6,シータ・トゥレイト,Q-tronic Omnistrain,CREATURE,Survivor,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Evolution-Put on one of your Survivors.
■ Each of your creatures in the battle zone is a Survivor in addition to its other races.",,crosswalk,149504,149248,256
7,684,1367,0_8,0_8,7,聖騎士サーベルフィーリ,"Saberfili, the Paladin",CREATURE,Rainbow Phantom,"■ Instead of attacking, you may tap this creature to use another creature's ability.",Never let your guard down. An unseen blade may appear from a space you never imagined.,crosswalk,110592,109824,768
8,685,1368,0_08A,0_8,7,聖騎士サーベルフィーリ,"Saberfili, the Paladin",CREATURE,Rainbow Phantom,"■ Instead of attacking, you may tap this creature to use another creature's ability.",Never let your guard down. An unseen blade may appear from a space you never imagined.,alt-art -> 0_8,122880,121344,1536
9,686,1369,0_9,0_9,8,超竜バハム,Überdragon Baham,EVOLUTION CREATURE,Armored Dragon,"■ Evolution-Put on one of your Armored Dragons.
■ This creature breaks an additional shield for each of your Dragonoids in the battle zone.","Its form, its courage, its strength - all will be remembered through the ages.",crosswalk,135168,134656,512
